pixel_size_mm,0.0078_mm,0.0093_mm,0.0111_mm,0.0131_mm,0.0156_mm,0.0186_mm,0.0221_mm,0.0263_mm,0.0312_mm,0.0372_mm,0.0442_mm,0.0526_mm,0.0625_mm,0.0743_mm,0.0884_mm,0.1051_mm,0.1250_mm,0.1487_mm,0.1768_mm,0.2102_mm,0.2500_mm,0.2973_mm,0.3536_mm,0.4204_mm,0.5000_mm,0.5946_mm,0.7071_mm,0.8409_mm,1.0000_mm,1.1890_mm,1.4140_mm,1.6820_mm,2.0000_mm,2.3780_mm,2.8280_mm,3.3640_mm,4.0000_mm,4.7570_mm,5.6570_mm,gs_mean,gs_sorting,gs_skewness,gs_kurtosis,d5_mm,d10_mm,d16_mm,d25_mm,d30_mm,d50_mm,d75_mm,d84_mm,d90_mm,d95_mm
0.00657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.04,0.04,0.15,0.17,0.18,0.14,0.1,0.09,0.05,0.03,0.01,0,0,0,0,1.032,0.443,1.269,4.608,0.49,0.602,0.649,0.719,0.757,0.918,1.237,1.461,1.65,1.936
0.00657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01,0.07,0.12,0.14,0.21,0.17,0.14,0.06,0.04,0.01,0.01,0,0,0,0,0,0,0.709,0.259,1.09,4.871,0.376,0.42,0.459,0.518,0.553,0.668,0.841,0.943,1.034,1.217
0.00657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01,0.01,0.04,0.05,0.06,0.16,0.15,0.2,0.14,0.08,0.07,0.01,0.03,0,0,0,1.307,0.559,1.06,4.49,0.559,0.673,0.817,0.923,0.974,1.224,1.577,1.813,2.054,2.324
0.00657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.03,0.06,0.17,0.12,0.14,0.13,0.1,0.08,0.07,0.04,0.01,0.01,0.02,0,0,1.143,0.641,1.847,7.079,0.509,0.595,0.634,0.694,0.739,0.96,1.38,1.665,1.932,2.331
0.00657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0.03,0.07,0.16,0.17,0.17,0.14,0.11,0.08,0.03,0.01,0,0,0,0,0,0,0,0,0,0.484,0.188,0.93,3.668,0.25,0.284,0.311,0.343,0.361,0.444,0.588,0.676,0.757,0.841
0.00657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.05,0.11,0.18,0.22,0.2,0.12,0.04,0.03,0.01,0,0.01,0,0,0,0,0,0,0.601,0.217,1.738,8.488,0.341,0.377,0.412,0.453,0.474,0.562,0.693,0.777,0.841,1.027
0.00657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0.06,0.09,0.1,0.18,0.17,0.11,0.14,0.05,0.03,0.01,0,0.01,0,0,0,0,0,0,0.548,0.234,1.337,6.959,0.237,0.284,0.325,0.382,0.414,0.503,0.687,0.774,0.831,0.968
