pixel_size_mm,0.0078_mm,0.0093_mm,0.0111_mm,0.0131_mm,0.0156_mm,0.0186_mm,0.0221_mm,0.0263_mm,0.0312_mm,0.0372_mm,0.0442_mm,0.0526_mm,0.0625_mm,0.0743_mm,0.0884_mm,0.1051_mm,0.1250_mm,0.1487_mm,0.1768_mm,0.2102_mm,0.2500_mm,0.2973_mm,0.3536_mm,0.4204_mm,0.5000_mm,0.5946_mm,0.7071_mm,0.8409_mm,1.0000_mm,1.1890_mm,1.4140_mm,1.6820_mm,2.0000_mm,2.3780_mm,2.8280_mm,3.3640_mm,4.0000_mm,4.7570_mm,5.6570_mm,gs_mean,gs_sorting,gs_skewness,gs_kurtosis,d5_mm,d10_mm,d16_mm,d25_mm,d30_mm,d50_mm,d75_mm,d84_mm,d90_mm,d95_mm
0.00657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01,0.03,0.06,0.09,0.15,0.18,0.18,0.12,0.07,0.06,0.01,0.01,0,0,0,0,1.028,0.415,0.971,4.374,0.473,0.563,0.645,0.742,0.785,0.96,1.236,1.405,1.61,1.841
0.00657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.03,0.06,0.11,0.2,0.19,0.15,0.08,0.05,0.05,0.04,0.03,0.01,0,0,0,0,0,0,0.635,0.316,1.726,6.076,0.302,0.348,0.388,0.436,0.456,0.546,0.708,0.875,1.085,1.35
0.00657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.02,0.02,0.03,0.11,0.16,0.17,0.2,0.1,0.1,0.06,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0.319,0.129,1.326,5.724,0.157,0.186,0.205,0.228,0.24,0.294,0.378,0.442,0.492,0.563
0.00657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.02,0.07,0.09,0.15,0.16,0.21,0.15,0.12,0.01,0.01,0.01,0,0,0,0,0,0,0,0.615,0.209,0.737,4.273,0.315,0.357,0.402,0.456,0.484,0.597,0.747,0.828,0.901,0.967
0.00657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.04,0.06,0.12,0.16,0.18,0.17,0.06,0.06,0.03,0.03,0.03,0.01,0.03,0.01,0,0,0,0,0,0.572,0.372,2.357,8.748,0.246,0.285,0.318,0.358,0.379,0.463,0.592,0.774,1,1.414
